"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","workerId","assginementId","hitId","view_history","stimulus","questionNo","questionOrder","version","task","testNo","testOrder","correct"
"10224","32","text","0","10226","0.0-0.0-0.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","","","","","","","",""
"143103","","instructions","1","153333","0.0-1.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","[{""page_index"":0,""viewing_time"":23487},{""page_index"":1,""viewing_time"":18948},{""page_index"":2,""viewing_time"":20121},{""page_index"":3,""viewing_time"":29191},{""page_index"":4,""viewing_time"":7648},{""page_index"":5,""viewing_time"":4467},{""page_index"":6,""viewing_time"":5503},{""page_index"":7,""viewing_time"":33737}]","","","","","","","",""
"9759","32","single-stim","2","163102","0.0-2.0-0.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/4_source.png","4","0","source","gotit","","",""
"5327","74","single-stim","3","168436","0.0-2.0-2.0-0.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/4_source.png","4","0","source","test","2","0","1"
"1717","70","single-stim","4","170160","0.0-2.0-2.0-1.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/4_source.png","4","0","source","test","0","1","1"
"2722","74","single-stim","5","172888","0.0-2.0-2.0-2.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/4_source.png","4","0","source","test","3","2","1"
"6804","70","single-stim","6","179697","0.0-2.0-2.0-3.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/4_source.png","4","0","source","test","1","3","1"
"10122","32","single-stim","7","189823","0.0-3.0-0.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/1_source.png","1","1","source","gotit","","",""
"2499","74","single-stim","8","192326","0.0-3.0-2.0-0.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/1_source.png","1","1","source","test","2","0","1"
"3264","74","single-stim","9","195594","0.0-3.0-2.0-1.0","SI0GGiTi8DJfF","intuitive","A3EJ44J2ZNRMDA","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","3N2BF7Y2VQVE4WC2P1KL5LG68W4HMB","","img/1_source.png","1","1","source","test","3","1","1"
