"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","workerId","assginementId","hitId","view_history","stimulus","questionNo","questionOrder","version","task","testNo","testOrder","correct"
"3843","32","text","0","3853","0.0-0.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","","","","","","","",""
"85825","","instructions","1","89685","0.0-1.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","[{""page_index"":0,""viewing_time"":8357},{""page_index"":1,""viewing_time"":11264},{""page_index"":2,""viewing_time"":4380},{""page_index"":3,""viewing_time"":10240},{""page_index"":4,""viewing_time"":11949},{""page_index"":5,""viewing_time"":6843},{""page_index"":6,""viewing_time"":7025},{""page_index"":7,""viewing_time"":25765}]","","","","","","","",""
"5542","32","single-stim","2","95238","0.0-2.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/1_source.png","1","0","source","gotit","","",""
"3111","74","single-stim","3","98356","0.0-2.0-2.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/1_source.png","1","0","source","test","3","0","1"
"2473","74","single-stim","4","100833","0.0-2.0-2.0-1.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/1_source.png","1","0","source","test","2","1","1"
"2763","70","single-stim","5","103599","0.0-2.0-2.0-2.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/1_source.png","1","0","source","test","1","2","1"
"4619","74","single-stim","6","108221","0.0-2.0-2.0-3.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/1_source.png","1","0","source","test","0","3","0"
"61722","32","single-stim","7","169944","0.0-3.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/2_source.png","2","1","source","gotit","","",""
"1983","74","single-stim","8","171929","0.0-3.0-2.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/2_source.png","2","1","source","test","2","0","1"
"3286","70","single-stim","9","175217","0.0-3.0-2.0-1.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/2_source.png","2","1","source","test","1","1","1"
"2151","70","single-stim","10","177370","0.0-3.0-2.0-2.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/2_source.png","2","1","source","test","0","2","1"
"869","74","single-stim","11","178241","0.0-3.0-2.0-3.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/2_source.png","2","1","source","test","3","3","1"
"54866","32","single-stim","12","233108","0.0-4.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/4_source.png","4","2","source","gotit","","",""
"3421","70","single-stim","13","236531","0.0-4.0-2.0-0.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/4_source.png","4","2","source","test","1","0","1"
"1074","74","single-stim","14","237606","0.0-4.0-2.0-1.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/4_source.png","4","2","source","test","2","1","1"
"769","74","single-stim","15","238376","0.0-4.0-2.0-2.0","afCW5iTivQWvu","intuitive","A4J4GGMKJ68L0","3YT88D1N08Z4K050P4I3MENS0MRK32","3YT88D1N08Z4K050P4I3MENS0MRK32","","img/4_source.png","4","2","source","test","3","2","1"
